Date,Username,Tweet-text,Tweet Link,Retweets,Likes,TweetImageUrl,Image
2019/04/10_17:08,https://twitter.com/BarackObama,From a big NBA fan congrats to future Hall of Famers Dwyane Wade and Dirk Nowitzki—not just all-time greats but class acts too.,https://twitter.com/BarackObama/status/1116130925396602880,20954,175133,,
2019/04/06_06:16,https://twitter.com/BarackObama,In just a few minutes I’m taking the stage at the @ObamaFoundation Town Hall Europe for a conversation about how to best support civic leaders carrying out good work across the continent. I hope you’ll tune in live at http://obama.org .https://twitter.com/ObamaFoundation/status/1114516881870872577 …,https://twitter.com/BarackObama/status/1114517185483898880,5206,36179,,
2019/04/05_09:25,https://twitter.com/BarackObama,A voice everybody should hear.https://twitter.com/ncaawbb/status/1113842633481310212 …,https://twitter.com/BarackObama/status/1114202323767701504,27938,134604,,
2019/04/04_12:23,https://twitter.com/BarackObama,Here’s a story about people doing good that's worth sharing: @BradPaisley and his wife @Kimwilliamspais saw food insecurity in Nashville and decided to do something about it. They just broke ground on a free grocery store to help families in need:https://apnews.com/2f5bdd226a674fd7bd9dca97c172475c …,https://twitter.com/BarackObama/status/1113884881807990789,15396,78627,,
2019/04/03_12:07,https://twitter.com/BarackObama,Great to see Chicago’s historic mayoral race between two highly qualified candidates. Congrats to our next mayor Lori Lightfoot—and Toni Preckwinkle campaigned hard and did us proud. I know that with our city’s heart and Lori’s leadership Chicago’s best days are still ahead.,https://twitter.com/BarackObama/status/1113518349483421696,8991,98094,,
2019/04/02_06:08,https://twitter.com/BarackObama,Valerie is one of my oldest friends and advisors – she was by my side when I first decided to run for office and for every major moment of the presidency. @ValerieJarrett's voice has often inspired me and I know “Finding My Voice” will inspire others to lift their voices too.pic.twitter.com/nWTBDByMoz,https://twitter.com/BarackObama/status/1113065751748009984,6839,66187,https://pbs.twimg.com/media/D3JnZdBVYAEVq8U.jpg,
2019/03/26_11:33,https://twitter.com/BarackObama,Last night I had the chance to meet with first-term Democrats in Congress—it's a young diverse class stocked with a bunch of my campaign and administration alums who’ve taken the torch. This group is going to be driving progress for a long time to come.pic.twitter.com/W5dDlDtNzE,https://twitter.com/BarackObama/status/1110610860513349633,14325,117989,https://pbs.twimg.com/media/D2musJoWsAIFVwg.jpg,
2019/03/21_08:43,https://twitter.com/BarackObama,Just in the nick of time: My brackets have never been my one shining moment but here we go again. You can check out my #MarchMadness picks here: https://go.obama.org/2019-bracket pic.twitter.com/EcCUdnZjun,https://twitter.com/BarackObama/status/1108756096733331456,8457,59574,https://pbs.twimg.com/media/D2MXyrbWsAAdVSz.jpg,
2019/03/20_07:20,https://twitter.com/BarackObama,And here are some ways to help cyclone victims in Mozambique Malawi and Zimbabwe:https://www.pbs.org/newshour/world/how-to-help-cyclone-victims-in-mozambique-malawi-and-zimbabwe …,https://twitter.com/BarackObama/status/1108372768796626945,8402,37269,,
2019/03/20_07:19,https://twitter.com/BarackObama,The floods in the Midwest and in southern Africa are heartbreaking. Suffering and loss on two sides of the world calls for solidarity and strength from all of us. Ask what you can do to help our fellow Americans and families in need. Here are some ideas:https://www.pbs.org/newshour/nation/how-to-help-those-affected-by-the-midwest-flooding …,https://twitter.com/BarackObama/status/1108372617562648576,18792,86957,,
2019/03/17_06:56,https://twitter.com/BarackObama,In 2011 I visited the tiny town of Moneygall and got to walk around in the house where my great-great-great grandfather Falmouth Kearney lived his early life. I'll always be grateful for the warmth and generosity of the Irish people. Happy St. Patrick's Day! -Barack O’Bamapic.twitter.com/abDtarFbR5,https://twitter.com/BarackObama/status/1107279541741998081,23726,244904,https://pbs.twimg.com/media/D13Y3rOWsAA42ma.jpg,
2019/03/15_06:15,https://twitter.com/BarackObama,Michelle and I send our condolences to the people of New Zealand. We grieve with you and the Muslim community. All of us must stand against hatred in all its forms.,https://twitter.com/BarackObama/status/1106544510555824128,111063,669878,,
2019/03/14_13:36,https://twitter.com/BarackObama,. @MichelleObama and I are rooting hard for Team USA as the Special Olympics World Games get underway this week. Our Special Olympians are terrific examples of America’s heart and drive.,https://twitter.com/BarackObama/status/1106293084168601600,13764,150080,,
2019/03/12_11:48,https://twitter.com/BarackObama,What a great moment. Happy 110th Virginia.https://twitter.com/MichelleObama/status/1105480037271289856 …,https://twitter.com/BarackObama/status/1105541040575008768,21986,253052,,
2019/03/10_18:02,https://twitter.com/BarackObama,Michelle and I send our deepest sympathies to all who knew the victims of today’s plane crash in Ethiopia.,https://twitter.com/BarackObama/status/1104910353232789505,35181,371801,,
2019/03/08_08:03,https://twitter.com/BarackObama,The Crew Dragon’s been on quite a ride since I last saw it—congrats to @NASA and @SpaceX on a successful return! We invested in the @Commercial_Crew program to strengthen the U.S. space program for the long haul and it’s great to see that happening.pic.twitter.com/Dsu5mZcaCZ,https://twitter.com/BarackObama/status/1104049983760805889,10923,130875,https://pbs.twimg.com/media/D1JfmpgXcAUJo_R.jpg,
2019/03/08_05:34,https://twitter.com/BarackObama,Preethi Alice and Sefora are just three of many @ObamaFoundation leaders who remind us what International Women’s Day is all about: imagining a world free of artificial ceilings for the next generation—and doing the hard work to get us there.,https://twitter.com/BarackObama/status/1104012516307451905,3829,40707,,
2019/03/08_05:31,https://twitter.com/BarackObama,And @SeforaKodjo is helping the next generation of women leaders in Africa rise up. Her organization is training and mentoring young women across the continent to adopt a new model of leadership one that puts gender equality at the heart of economic development.pic.twitter.com/cRb4EKcrvv,https://twitter.com/BarackObama/status/1104011854437863424,3989,39995,https://pbs.twimg.com/media/D1I86LNX0AIIfGp.jpg,
2019/03/08_05:31,https://twitter.com/BarackObama,. @BarbeAlice is helping refugees resettle into welcoming communities in France offering them job training and language immersion as well as a place to stay. More importantly she’s fighting a narrative that suggests our differences are more important than our shared humanity.pic.twitter.com/jNIiKIAZaO,https://twitter.com/BarackObama/status/1104011700724994049,2919,25182,https://pbs.twimg.com/media/D1I8xWnWoAACMCD.jpg,
2019/03/08_05:30,https://twitter.com/BarackObama,. @preethiherman is helping women unleash their power to change their societies. As head of the http://Change.org  Foundation she’s leading an initiative that combines online tools with in-person organizing giving women a voice in her native India—and beyond.pic.twitter.com/TKuAKVL5Y1,https://twitter.com/BarackObama/status/1104011515227713538,3161,26770,https://pbs.twimg.com/media/D1I8nTDX4AAGuKC.jpg,
2019/03/08_05:29,https://twitter.com/BarackObama,On International Women’s Day I’m reflecting on the future we all want for our daughters: one where they can live out their aspirations without limits. And I’m celebrating some of the women who are building that future for all of us today.,https://twitter.com/BarackObama/status/1104011361099624448,107881,500410,,
2019/02/21_11:01,https://twitter.com/BarackObama,It’s up to all of us as citizens to make sure that the rules of democracy are fair—everywhere—because the next decade of our nation's progress is on the line. Join me and @allontheline in the fight against gerrymandering: http://allontheline.org .pic.twitter.com/rKchS3ltLI,https://twitter.com/BarackObama/status/1098659030204116992,21437,99024,,
2019/02/20_20:41,https://twitter.com/BarackObama,Zion Williamson seems like an outstanding young man as well as an outstanding basketball player. Wishing him a speedy recovery.,https://twitter.com/BarackObama/status/1098442623239573505,32770,313064,,
2019/02/19_16:02,https://twitter.com/BarackObama,I’m about to join @StephenCurry30 on stage with @MBK_Alliance to answer questions from boys and young men of color about the challenges that confront them and the opportunities within their grasp. Tune in at http://obama.org .,https://twitter.com/BarackObama/status/1098009940436885506,11234,106946,,
2019/02/16_12:40,https://twitter.com/BarackObama,I’ve always loved basketball because it’s about building a team that’s equal to more than the sum of its parts. Glad to see this expansion into Africa because for a rising continent this can be about a lot more than what happens on the court.https://twitter.com/NBA/status/1096862836989534208 …,https://twitter.com/BarackObama/status/1096871952512368642,23270,160902,,
