UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Barack Obama,@BarackObama,2007-05-07T15:52:28.000Z,"Barack Obama
@BarackObama
·
May 7, 2007","At the Detroit Economic Club – Talking about the need to reduce our dependence on foreign oil.
22
29
105",,22,29,105,[],https://twitter.com/BarackObama/status/53427172
Barack Obama,@BarackObama,2007-05-08T21:01:32.000Z,"Barack Obama
@BarackObama
·
May 8, 2007","Thinking we can cut oil consumption by 2.5 million barrels of oil per day and take 50 million cars’ worth of pollution off the road by 2020
27
14
36",,27,14,36,[],https://twitter.com/BarackObama/status/55928192
Barack Obama,@BarackObama,2007-05-11T01:15:18.000Z,"Barack Obama
@BarackObama
·
May 10, 2007","In Indianola, Iowa and heading to Des Moines
25
19
73",,25,19,73,[],https://twitter.com/BarackObama/status/59358952
Barack Obama,@BarackObama,2007-05-16T19:47:37.000Z,"Barack Obama
@BarackObama
·
May 16, 2007","Thinking the President’s word is not the last word on Iraq.
10
24
32",,10,24,32,[],https://twitter.com/BarackObama/status/66208452
Barack Obama,@BarackObama,2007-05-14T17:25:24.000Z,"Barack Obama
@BarackObama
·
May 14, 2007","In Trenton, NJ at AFL-CIO Town Hall Meeting
89
60
179",,89,60,179,[],https://twitter.com/BarackObama/status/63909652
Barack Obama,@BarackObama,2007-05-19T17:57:28.000Z,"Barack Obama
@BarackObama
·
May 19, 2007","Speaking at Southern New Hampshire University Commencement
30
50
46",,30,50,46,[],https://twitter.com/BarackObama/status/70349392
Barack Obama,@BarackObama,2007-05-25T01:05:27.000Z,"Barack Obama
@BarackObama
·
May 24, 2007","In DC voting No...  ""We should not give the President a blank check to continue down this same, disastrous path.”
6
30
29",,6,30,29,[],https://twitter.com/BarackObama/status/77263482
Barack Obama,@BarackObama,2007-05-31T20:46:37.000Z,"Barack Obama
@BarackObama
·
May 31, 2007","Looking forward to watching Michelle's interview on NBC nightly news tonight.
14
13
45",,14,13,45,[],https://twitter.com/BarackObama/status/85862772
Barack Obama,@BarackObama,2007-05-29T15:32:16.000Z,"Barack Obama
@BarackObama
·
May 29, 2007","At the University of Iowa envisioning affordable universal healthcare by end of first term.
53
248
349",,53,248,349,[],https://twitter.com/BarackObama/status/82737212
Barack Obama,@BarackObama,2007-06-03T19:49:52.000Z,"Barack Obama
@BarackObama
·
Jun 3, 2007","Heading to Democratic presidential debate at St. Anselm College in New Hampshire.  Debate starts at 7pm EST and will air live on CNN.
16
11
24",,16,11,24,[],https://twitter.com/BarackObama/status/89585682
Barack Obama,@BarackObama,2007-06-08T23:58:23.000Z,"Barack Obama
@BarackObama
·
Jun 8, 2007","Preparing for our big ""Walk for Change"" national canvass - Heading to Dubuque, Iowa for tomorrow's walk.
13
5
27",,13,5,27,[],https://twitter.com/BarackObama/status/96637982
Barack Obama,@BarackObama,2007-06-16T00:56:49.000Z,"Barack Obama
@BarackObama
·
Jun 15, 2007","Traveling to Jackson, Mississippi - excited after rallying with over 3500 supporters in Greenville, South Carolina.
14
5
18",,14,5,18,[],https://twitter.com/BarackObama/status/106484782
Barack Obama,@BarackObama,2007-06-14T01:44:34.000Z,"Barack Obama
@BarackObama
·
Jun 13, 2007","Being featured on YouTube ""Candidate Spotlight"" asking how can we make this country better?
21
15
22",,21,15,22,[],https://twitter.com/BarackObama/status/103634902
Barack Obama,@BarackObama,2007-06-20T01:53:08.000Z,"Barack Obama
@BarackObama
·
Jun 19, 2007","Launching Obama Mobile text messaging; text 'GO' to OBAMA (62262) to get a free bumper sticker.
54
600
811",,54,600,811,[],https://twitter.com/BarackObama/status/112224892
Barack Obama,@BarackObama,2007-06-26T20:46:47.000Z,"Barack Obama
@BarackObama
·
Jun 26, 2007","In DC: Asking you to share what inspires you on the front page of www.barackobama.com
12
22
26",,12,22,26,[],https://twitter.com/BarackObama/status/121928412
Barack Obama,@BarackObama,2007-06-28T23:49:22.000Z,"Barack Obama
@BarackObama
·
Jun 28, 2007","In DC heading to Howard University for the presidential debate @ 9pm EDT on PBS stations. Txt your thoughts on the debate to OBAMA (62262)
10
10
12",,10,10,12,[],https://twitter.com/BarackObama/status/125365592
Barack Obama,@BarackObama,2007-07-09T18:57:25.000Z,"Barack Obama
@BarackObama
·
Jul 9, 2007","Heading to Alabama for the Birmingham kick-off rally.
32
25
33",,32,25,33,[],https://twitter.com/BarackObama/status/141791322
Barack Obama,@BarackObama,2007-07-16T19:53:04.000Z,"Barack Obama
@BarackObama
·
Jul 16, 2007","In Chicago, walking picket line with hotel workers at the Congress Hotel. For more info visit http://www.congresshotelstrike.info
3
1
11",,3,1,11,[],https://twitter.com/BarackObama/status/152903462
Barack Obama,@BarackObama,2007-07-19T21:00:13.000Z,"Barack Obama
@BarackObama
·
Jul 19, 2007","Enjoying an ice cream social with residents of Sunapee, New Hampshire.
14
31
113",,14,31,113,[],https://twitter.com/BarackObama/status/158199002
Barack Obama,@BarackObama,2007-07-26T19:43:39.000Z,"Barack Obama
@BarackObama
·
Jul 26, 2007","Addressing the College Democrats of America at their national convention in Columbia, SC.
7
16
10",,7,16,10,[],https://twitter.com/BarackObama/status/170096102
